"index","id","name","wikiUrl","assetFile"
"60","LeqcVhByUW581558","黑豹g（苏）","https://wiki.warthunder.com/unit/germ_pzkpfw_V_ausf_g_panther","germ_pzkpfw_v_ausf_g_panther.grp"
"61","lhJVnSXfcz712412","虎王","https://wiki.warthunder.com/unit/germ_pzkpfw_VI_ausf_b_tiger_IIh","germ_pzkpfw_vi_ausf_b_tiger_h.grp"
"62","MjbUgYjCFB224780","t64a","https://wiki.warthunder.com/unit/ussr_t_64a_1971","ussr_t_64_a_1971.grp"
"63","MnqIRcALHM302735","t54（东德）","https://wiki.warthunder.com/unit/ussr_t_54_1951","ussr_t_54_1951.grp"
"64","MOQCHOaMgP151855","t90m","https://wiki.warthunder.com/unit/ussr_t_90m_2020","ussr_t_90m.grp"
"65","ndLITUxqLz104280","虎h1","https://wiki.warthunder.com/unit/germ_pzkpfw_VI_ausf_h1_tiger","germ_pzkpfw_vi_ausf_h1_tiger.grp"
"66","nfkUEAYqiL791402","m1a2v2","https://wiki.warthunder.com/unit/us_m1a2_sep2_abrams","usa_m1a2_sep2.grp"
"67","ngahgHbRxQ816258","su100","https://wiki.warthunder.com/unit/ussr_su_100_1945","ussr_su_100.grp"
"68","nGUQhLXOJu474631","豹2pos","https://wiki.warthunder.com/unit/germ_leopard_2a5_pso","germ_leopard_2_pso.grp"
"69","nMQqdcPMvN886387","t95","",""
"70","nssnttVPUN893457","is4m","https://wiki.warthunder.com/unit/ussr_is_4m","ussr_is_4m.grp"
"71","nXuCSCwQyE727763","t55amd1","https://wiki.warthunder.com/unit/ussr_t_55_amd_1","ussr_t_55amd_1.grp"
"72","OdEnBJawqP133228","bt5","https://wiki.warthunder.com/unit/ussr_bt_5","ussr_bt_5.grp"
"73","OGTtnQYzMo639373","t72（东德）","https://wiki.warthunder.com/unit/ussr_t_72a","ussr_t_72a.grp"
"74","OKSBXCzyBS806441","m4a2","https://wiki.warthunder.com/unit/us_m4a2_sherman","usa_m4a2_sherman_1944.grp"
"75","OoiGmmLmYl504522","t55（东德）","https://wiki.warthunder.com/unit/ussr_t_55a","ussr_t_55a.grp"
"76","oOqUudJcZJ650231","t90a","https://wiki.warthunder.com/unit/ussr_t_90a","ussr_t_90a.grp"
"77","PKaBSRuxhd903779","t34-57","https://wiki.warthunder.com/unit/ussr_t_34_1941_57","ussr_t_34_1941.grp"
"78","PnHrcNoqSo560665","m1hc","https://wiki.warthunder.com/unit/us_m1a1_hc_abrams","usa_m1a1_hc_abrams.grp"
"79","PqiZcFHptx855200","m4a1","https://wiki.warthunder.com/unit/us_m4a1_1942_sherman","usa_m4a1_sherman_1942.grp"
"80","PQQsDrQLkZ488978","三号f","https://wiki.warthunder.com/unit/germ_pzkpfw_III_ausf_F","germ_pzkpfw_iii_ausf_f.grp"
"81","PVlrNGBpFE322432","t72m1（东德）","https://wiki.warthunder.com/unit/germ_kpz_t72m1","germ_kpz_t72m1.grp"
"82","qgqFAgQEIv421272","75mm改件","",""
"83","qJiZbKbAVt626480","sd.kfz234/2","https://wiki.warthunder.com/unit/germ_sdkfz_234_2",""
"84","QmhmNeEMQv525029","T34-88炮：虎h1
车身：t34-85","",""
"85","RBXuIALEdk513273","t64a（东德）","https://wiki.warthunder.com/unit/ussr_t_64a_1971","ussr_t_64_a_1971.grp"
"86","rcfDZmwsdv207296","克利安","https://wiki.warthunder.com/unit/germ_flakpanzer_v_coelian",""
"87","ReuLbiuWzO136123","m1a1","https://wiki.warthunder.com/unit/us_m1a1_abrams","usa_m1a1_abrams.grp"
"88","rrwDbbxdas077059","88mm","",""
"89","RTBLKPuAUU067975","kv2（1940）","https://wiki.warthunder.com/unit/ussr_kv_2_1940","ussr_kv_2.grp"
"90","rtFmlVRGOf199561","59d","https://wiki.warthunder.com/unit/cn_type_59d","cn_type_59d.grp"
"91","rtGOzcNphw524407","豹1a1","https://wiki.warthunder.com/unit/germ_leopard_i_a1","germ_leopard_1_a1.grp"
"92","RVrxqeDpow620893","su122","https://wiki.warthunder.com/unit/ussr_su_122","ussr_su_122.grp"
"93","rvTkJBmAAG276460","strv103a","https://wiki.warthunder.com/unit/sw_strv_103a","se_strv_103_0.grp"
"94","SlvgixiyvB010572","三号e","https://wiki.warthunder.com/unit/germ_pzkpfw_III_ausf_E","germ_pzkpfw_iii_ausf_e.grp"
"95","sPJQoFNndh535734","虎e","https://wiki.warthunder.com/unit/germ_pzkpfw_VI_ausf_e_tiger","germ_pzkpfw_vi_ausf_e_tiger.grp"
"96","srXRvpiwgY898366","t72b（东德）","https://wiki.warthunder.com/unit/ussr_t_72b","ussr_t_72b.grp"
"97","sSgPHOQKPV590433","m4a2（76）","https://wiki.warthunder.com/unit/us_m4a2_76w_sherman","usa_m4a2_sherman_1944.grp"
"98","sUqChnzUhD505054","防空导弹","",""
"99","sxHNaajnrB103109","炮45mm","",""
"100","SZIDTxDSlM881951","m4a3e2","https://wiki.warthunder.com/unit/us_m4a3e2_sherman_jumbo","usa_m4a3e2_sherman_jumbo.grp"
"101","tvuCFbSTya926111","t34（1941）","https://wiki.warthunder.com/unit/ussr_t_34_1941","ussr_t_34_1941.grp"
"102","TWLdpaMMHq886489","三号突击炮G","https://wiki.warthunder.com/unit/germ_stug_III_ausf_G","germ_stug_40_ausf_g.grp"
"103","UvekLsNqCV426934","鼠式","https://wiki.warthunder.com/unit/germ_pzkpfw_Maus","germ_pzkpfw_viii_maus.grp"
"104","UyvCcpznjr327597","t80um2","https://wiki.warthunder.com/unit/ussr_t_80um2","ussr_t_80um2.grp"
"105","VAADidrBpH912234","t72b3a","https://wiki.warthunder.com/unit/ussr_t_72b3_arena_m","ussr_t_72b3_arena.grp"
"106","vHKaJtcvcr391587","m1","https://wiki.warthunder.com/unit/us_m1_abrams","usa_m1_abrams.grp"
"107","VHWAeCByUK304876","m4a3（76","https://wiki.warthunder.com/unit/us_m4a3e8_76w_sherman","usa_m4a3e8_76w_sherman.grp"
"108","vulVSejOyb162250","bmp2","https://wiki.warthunder.com/unit/ussr_bmp_2","ussr_bmp_2.grp"
"109","wcjkttFzTB342705","is3","https://wiki.warthunder.com/unit/ussr_is_3","ussr_is_3.grp"
"110","wdfapCueWV829610","豹2a5","https://wiki.warthunder.com/unit/germ_leopard_2a5","germ_leopard_2a5.grp"
"111","WFwUIlqAbJ933903","猎豹","https://wiki.warthunder.com/unit/germ_panzerjager_panther","germ_panzerjager_panther.grp"
"112","WjjbQFKavQ265317","30mm机炮","",""
"113","WlydbvnfBE486703","克伦威尔5","https://wiki.warthunder.com/unit/uk_a27m_cromwell_5","uk_a27m_cromwell_5.grp"
"114","wpYQQtAqrO665861","kv1（芬兰）","https://wiki.warthunder.com/unit/ussr_kv_1_L_11",""
"115","wVMVINEdoM169164","m4a1（76）","https://wiki.warthunder.com/unit/us_m4a1_76w_sherman","usa_m4a1_76w_sherman.grp"
"116","xARwPMaVpD143631","sd.Kfz234/3","https://wiki.warthunder.com/unit/germ_sdkfz_234_3","germ_sdkfz_234_3.grp"
"117","YnAsyvfNJL206928","黑豹f","https://wiki.warthunder.com/unit/germ_pzkpfw_V_ausf_f_panther","germ_pzkpfw_v_ausf_g_panther.grp"
"118","ySTeREVxrG012140","m1128","https://wiki.warthunder.com/unit/us_m1128_mgs","usa_m1128_mgs.grp"
"119","zAhuzOWTZx038235","strv103c","https://wiki.warthunder.com/unit/sw_strv_103c","se_strv_103.grp"
"120","ZnJCDaDRDg491760","t50","https://wiki.warthunder.com/unit/ussr_t_50","ussr_t_50.grp"
"121","ZnmJhRUcFm119428","s300","",""
"122","ZRMhsOYNgq055960","三号突击炮短管","https://wiki.warthunder.com/unit/germ_stug_III_ausf_A","germ_stug_iii_ausf_a.grp"
"123","new_node","胡蜂","https://wiki.warthunder.com/unit/germ_panzerjager_nashorn","germ_panzerjager_nashorn.grp"
